symbol,name,per,pbr,roe_pct,profit_metric,profit_yoy_pct,profit_cagr_3period_pct,revenue_yoy_pct,revenue_cagr_3period_pct,source,as_of,limitations
9432.T,NTT,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
6301.T,コマツ,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
8001.T,伊藤忠商事,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
6758.T,ソニーグループ,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
5108.T,ブリヂストン,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
7974.T,任天堂,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
6273.T,SMC,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
6326.T,クボタ,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
7202.T,いすゞ自動車,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
7203.T,トヨタ自動車,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
6526.T,ソシオネクスト,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
6201.T,豊田自動織機,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
7267.T,ホンダ,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
7270.T,SUBARU,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
6723.T,ルネサス,,,,,,,,,local_readonly:kabu_publish\199_universe100_screening.csv,2026-07-07,snapshot only; not usable as historical point-in-time data
