date,close_raw,close_adj,volume,source_url,fetched_at
2016-07-08,674.875,634.6554565429688,47960000,https://query1.finance.yahoo.com/v8/finance/chart/9984.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-11,674.875,634.6554565429688,0,https://query1.finance.yahoo.com/v8/finance/chart/9984.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-12,730.625,687.0830078125,44485600,https://query1.finance.yahoo.com/v8/finance/chart/9984.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-13,733.75,690.0218505859375,35597600,https://query1.finance.yahoo.com/v8/finance/chart/9984.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-14,749.125,704.4805297851562,38405600,https://query1.finance.yahoo.com/v8/finance/chart/9984.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-15,750.875,706.126220703125,39240000,https://query1.finance.yahoo.com/v8/finance/chart/9984.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-19,673.375,633.2449340820312,137200800,https://query1.finance.yahoo.com/v8/finance/chart/9984.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-20,676.125,635.830810546875,91997600,https://query1.finance.yahoo.com/v8/finance/chart/9984.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-21,673.875,633.715087890625,77428000,https://query1.finance.yahoo.com/v8/finance/chart/9984.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-22,674,633.8326416015625,57614400,https://query1.finance.yahoo.com/v8/finance/chart/9984.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-25,652,613.1438598632812,63296000,https://query1.finance.yahoo.com/v8/finance/chart/9984.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-26,671.5,631.4815063476562,100055200,https://query1.finance.yahoo.com/v8/finance/chart/9984.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-27,677.75,637.359130859375,70710400,https://query1.finance.yahoo.com/v8/finance/chart/9984.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-28,670.75,630.7763671875,40854400,https://query1.finance.yahoo.com/v8/finance/chart/9984.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-29,712.875,670.390869140625,134208000,https://query1.finance.yahoo.com/v8/finance/chart/9984.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
