date,close_raw,close_adj,volume,source_url,fetched_at
2016-07-08,1420,934.1039428710938,11552320,https://query1.finance.yahoo.com/v8/finance/chart/8411.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-11,1420,934.1039428710938,0,https://query1.finance.yahoo.com/v8/finance/chart/8411.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-12,1545,1016.3314819335938,31278550,https://query1.finance.yahoo.com/v8/finance/chart/8411.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-13,1603,1054.4849853515625,30622400,https://query1.finance.yahoo.com/v8/finance/chart/8411.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-14,1595,1049.2222900390625,18071270,https://query1.finance.yahoo.com/v8/finance/chart/8411.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-15,1638,1077.5089111328125,23488980,https://query1.finance.yahoo.com/v8/finance/chart/8411.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-19,1637,1076.85107421875,13520920,https://query1.finance.yahoo.com/v8/finance/chart/8411.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-20,1625,1068.95703125,11659340,https://query1.finance.yahoo.com/v8/finance/chart/8411.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-21,1640,1078.824462890625,15066110,https://query1.finance.yahoo.com/v8/finance/chart/8411.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-22,1624,1068.2994384765625,9099710,https://query1.finance.yahoo.com/v8/finance/chart/8411.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
2016-07-25,1610,1059.08984375,9591760,https://query1.finance.yahoo.com/v8/finance/chart/8411.T?period1=1467963358&period2=1783496158&interval=1d&events=history,2026-07-07T07:35:58.252Z
